1.2835,0.31965,122.06
1.2649,0.31965,119.33
1.2473,0.31965,116.35
1.2307,0.31965,113.32
1.2131,0.32991,110.05
1.1965,0.35484,106.63
1.1799,0.36999,103.11
1.1613,0.39003,99.544
1.1388,0.41496,96.076
1.1134,0.435,92.853
1.0929,0.43011,90.215
1.0782,0.39003,88.31
1.0733,0.32502,86.943
1.0948,0.26979,85.966
1.1574,0.24487,85.379
1.2717,0.23998,84.94
1.4379,0.23998,84.598
1.6481,0.23998,84.354
1.8837,0.25464,84.158
2.1251,0.45015,83.914
2.3519,0.94526,83.67
2.5464,1.2307,83.377
2.7009,0.82502,82.986
2.8045,0.28495,82.595
2.869,0.11486,82.156
2.915,0.10948,81.667
2.9423,0.12952,81.13
2.9521,0.14467,80.495
2.9462,0.14956,79.811
2.9267,0.15494,79.176
2.8944,0.16471,78.59
2.8495,0.1696,78.053
2.7928,0.1696,77.564
2.7243,0.17498,77.027
2.6442,0.18475,76.539
2.565,0.18475,76.099
2.4819,0.18475,75.66
2.3851,0.17498,75.22
2.2796,0.1696,74.731
2.1691,0.16471,74.194
2.0753,0.14956,73.657
1.9941,0.12463,73.168
1.9101,0.084555,72.68
1.8319,0.039589,72.192
1.7625,0.0097752,71.752
1.7038,-0.025415,71.85
1.6549,-0.060606,73.803
1.6149,-0.070381,79.323
1.5865,-0.045455,88.701
1.565,-0.0053763,99.789
1.5425,0.039589,109.36
1.521,0.094819,115.81
1.4976,0.14467,120.01
1.4741,0.17986,123.48
1.4487,0.1999,126.6
1.4223,0.21457,129
1.3959,0.22972,130.17
1.3675,0.2346,130.17
1.3372,0.22972,129.39
1.3069,0.22483,127.92
1.2825,0.2346,125.97
1.263,0.24487,123.67
1.2395,0.2346,121.04
1.2151,0.22972,118.25
1.1916,0.21994,115.22
1.1681,0.21994,112.05
1.1457,0.22972,108.73
1.1241,0.24976,105.26
1.1017,0.26002,101.55
1.0792,0.28006,97.786
1.0528,0.31476,94.123
1.0225,0.3348,90.606
0.99804,0.33969,87.675
0.97654,0.3001,85.379
0.95406,0.2346,83.719
0.94526,0.17986,82.693
0.96579,0.14956,82.009
1.0323,0.13978,81.57
1.1525,0.13978,81.277
1.3265,0.1349,81.179
1.5435,0.12952,80.984
1.7849,0.24487,80.788
2.0283,0.65494,80.544
2.2522,1.0205,80.3
2.4418,0.71505,80.007
2.5777,0.14467,79.616
2.6696,-0.035191,79.225
2.738,-0.00048876,78.737
2.781,0.029814,78.199
2.7996,0.039589,77.662
2.7996,0.044477,77.223
2.784,0.049853,76.783
2.7546,0.069892,76.441
2.7146,0.079668,76.05
2.6628,0.079668,75.757
2.5992,0.079668,75.366
2.5269,0.079668,75.073
2.4555,0.079668,74.683
2.3812,0.07478,74.243
2.2933,0.07478,73.803
2.1975,0.064516,73.315
2.0958,0.064516,72.729
1.9932,0.054741,72.192
1.8925,0.034702,71.654
1.7986,-0.00048876,71.117
1.7126,-0.035191,70.629
1.6373,-0.070381,70.091
1.5738,-0.11535,69.749
1.523,-0.14565,70.433
1.4839,-0.15543,73.559
1.4585,-0.14027,80.593
1.4409,-0.10557,90.997
1.4252,-0.045455,101.79
1.4106,0.0097752,110.05
1.3978,0.059629,115.32
1.3851,0.10948,118.94
1.3705,0.13978,122.11
1.3519,0.16471,124.8
1.3314,0.18475,126.41
1.3069,0.20479,126.8
1.2796,0.21994,126.07
1.2512,0.22972,124.55
1.2278,0.22972,122.55
1.2014,0.22972,120.3
1.176,0.2346,117.81
1.1574,0.2346,115.13
1.1388,0.22972,112.39
1.1212,0.22972,109.41
1.1046,0.24487,106.38
1.0899,0.26491,103.16
1.0762,0.28495,99.886
1.0645,0.30987,96.467
1.0508,0.34506,93.243
1.0342,0.3651,90.313
1.0127,0.35484,87.822
0.99511,0.3001,86.063
0.9824,0.2346,84.793
0.97458,0.1999,84.061
0.98534,0.18964,83.572
1.0303,0.18964,83.279
1.1251,0.19501,83.133
1.2737,0.18964,82.937
1.4712,0.21994,82.791
1.7038,0.45992,82.693
1.9492,0.95552,82.595
2.1848,1.1056,82.449
2.391,0.54497,82.156
2.5415,0.10459,81.912
2.6461,0.039589,81.667
2.7243,0.079668,81.423
2.7713,0.099707,80.984
2.7908,0.11975,80.446
2.7889,0.13978,79.86
2.7683,0.14467,79.421
2.7341,0.14956,78.981
2.6882,0.15494,78.492
2.6325,0.16471,78.053
2.566,0.1696,77.613
2.4907,0.17498,77.223
2.4057,0.17498,76.783
2.3245,0.17498,76.246
2.2434,0.1696,75.611
2.1505,0.17498,74.927
2.0528,0.1696,74.243
1.9541,0.14956,73.608
1.8602,0.11975,72.973
1.7722,0.084555,72.436
1.695,0.044477,71.85
1.6295,0.0043988,71.41
1.5758,-0.025415,71.557
1.5327,-0.040567,73.559
1.4995,-0.045455,79.176
1.477,-0.025415,88.701
1.4614,0.01955,99.74
1.4477,0.079668,109.07
1.436,0.13978,115.17
1.4242,0.18964,119.23
1.4115,0.22972,122.6
